,0,task
362,They still work as well as they did the day I got them.,334
363,If you have hair this probably won't be an issue but its worth a mention.,334
364,"I basically put these on at 8, and leave them on until 6.",334
365,They are perfect for my needs.,334
366,"Except that it's not for people with small head, it is a great product for casual listening",334
367,I paired it with the TaoTronics TT-BA02 Wireless Portable Bluetooth Stereo Music Transmitter.,334
368,"The sound cuts a bit if you're moving around a lot, I wore then as I mowed my lawn, but for the most part, 'they're okay.",334
369,These came to me broken and I think that stands as a testament to the poor build quality on these headphones.,334
370,My mothers pair have stopped working after about a year.,334
371,They also stay put.,334
372,They bluetooth well and do just what they say.,334
373,"I think there are room for improvements, but for the price, it is worth purchasing.",334
374,"It isn't much weight, though.",334
375,Hurt my head within 15 minutes.,335
376,What I don't like is the sense that it lacks a little oomph.,335
377,Gave them to my husband hoping his larger head will stretch them out for me :),335
378,Maybe it's because I have a big head.,335
379,I paired it with the TaoTronics TT-BA02 Wireless Portable Bluetooth Stereo Music Transmitter.,335
380,I suppose this thing is good for rock or rap...when deep bass pounding is wanted.,335
381,Here's a hint: EQ them.,335
382,They sound ok - especially after the in ear wired set I was using started to drive me crazy.,335
383,It's just where bluetooth technology is.,335
384,"For the price, these are unbeatable.",335
385,I have to turn off the bluetooth on my phone and then take unit off to shut down.,335
386,My son also eecieved Beats headphones for Christmas and prefers these..,335
387,"Anyway, with all the other headphones at the same price range that exist out there, I just returned them and bought something else.",335
388,"if i had the chance and some extra cash, i will eventually switch to something more comfortable that i can wear for a long period for work.",335
389,So far so good.,335
390,"Also, to everyone who buys $200 headphones: ""You got ripped off.""",335
391,"It seems like they have definitely worked the bugs out of these, at least for my use.",335
392,"Really good sound quality, and a fairly comfortable fit.",335
393,"While I viewed them as a holdover until I could afford something higher-end like the Jaybirds Bluebuds X, I may end up putting off that decision longer than I anticipated!",335
394,"good for rock and hip hop, pop music.",335
395,"They sound better, but still not great..  None of my recent headphone purchases can match my 20 year old, cheap digital headphones, which are starting to fall apart...:(  These do look great, though.",335
396,I bought them to use at my desk at work and they are good for that.,335
397,"I gave them 5 stars because at this price, you WILL NOT find headphones that sound better.",335
398,"I'm a musician so I'm always looking for great studio heaphones or personal monitors, these headphones are worth every penny!",335
399,It holds the charge the whole time I've used it too.,335
400,I purchased these a year ago along with a portable DVD player for our car.,336
401,Spend the extra 10-20 to get some sturdy headphones with padding.,336
402,The box of the earphone was opened a bit but they did mention that may happen but they arrived safe and sound.,336
403,The biggest gripe I have with them is just how NOT loud they are.,336
404,I was worried that the area where the ears would rest would be stiff and not be very comfortable against my ears.,336
405,But I knew this had to be just a bad unit.,336
406,The headset works as advertised.,336
407,I have them on now as I write this review.,336
408,The battery would not hold a charge after just 1 month of usage.,336
409,"Just like the price of these headphones, the quality is also low.",336
410,These things have fabulous sound and range.,336
411,They seem to be well constructed yet are really too heavy for long term wear (an hour is a long time to wear these).,336
412,I am very satisfied for the quality of the headphones.,336
413,I was really surprised at the sound quality and also how comfortable this headphone is.,336
414,"If your going to buy these take care of them, if you don't then it will definitely break.",336
415,They stick out a lot and make you look funny.,336
416,My boy bought this headphone with his own money and I just tried it on today to see how a $15 Sony headphone sound.,336
417,I even did a side by side comparison to the Beats and very comparable in sound just not as deep of bass as the Beats.,336
418,Not too shabby for the price dynamic range 8 out of 10 depends on the output of you're system at my age 40+ hendrix and clapton always sound like gods.,336
419,I readjust how they sit every once in a while.,336
420,I had the same problem as the first reviewer...won't hold a charge.,336
421,"One instance last week I got up to about 30 or 40 feet before it started to drop out, although there was also a wall separating me and my phone.",336
422,Controls are easily accessible.,336
423,He loves them and we are extremely happy.,336
424,This makes the headset unstable and renders the unit useless.,336
425,These headphones are hard to beat for the price.,337
426,Easy to set up and control.,337
427,"When you consider the cost for the Beats verses the cost for these headphones , it became an easy decision to make

I find these headphones to be more than I would have thought in regards to the sound quality.",337
428,"I didn't expect much for under $20, but if you consider yourself even slightly more concerned with quality than the average user, I'd get something else.",337
429,Obviously the quality isn't great compared to high end models but for the price they are a great buy.,337
430,"I bought this as a recommendation from Matt Ogus, professional bodybuilder.",337
431,"My crazy suggestion would be to have some type of small mic that can drop down closer to the mouth if on a call, then just snap back up if not on a call.",337
432,These have a really good sound for the price.,337
433,"Battery life seems okay, but I tend to just keep mine on the charger when they are not in use.",337
434,I readjust how they sit every once in a while.,337
435,They even fold up to stow away in my cargo shorts.,337
436,"Bought these on: August 8, 2014.",337
437,"I did shake my head and they didn't fall off, but I still had the uneasy feeling about them.",337
438,"For the price, Yeh they're worth $15 but not much more.",337
439,I bought 2 pairs of head phone for a long trip to Asia.,337
440,Overall it is a good product that I use on a daily basis!,337
441,And my workouts are pretty long so I'm impressed.,337
442,"Not bad, was a little leary of buying them since they were so cheap but thought I'd try the out since they are Sony brand.",337
443,"For anyone that complains about the sound quality, THEY ARE $15.00.",337
444,I ended up donating them to our local thrift store after one use.,337
445,I just picked up the SONY MDR-ZX100 headphones today and for the small amount I paid I can't believe the big sound I am getting with them.,337
446,I highly recommend them.,337
447,These broke after about 2 months of use.,337
448,They are not as comfortable on my head as the old Motorola they are replacing after 6 years but they also cost less than 1/2 of the old unit.,337
449,"Read the description before you buy it then get it then complain about it not being noise canceling, these weren't made to cancel out noise, just slightly muffle them out.",337
450,I will continue to purchase these headphones whenever they wear out!,338
451,No matter what brand.,338
452,"Since these cover the ear, I figured I'd give them a shot.",338
453,I bought this for my 14-year-old.,338
454,The pair they replaced lasted TWO YEARS until they fell into a hot tub.,338
455,The distance says up to 30ft.,338
456,"the small hole in my mac which apple calls as ""speaker"" sounds better than this.",338
457,Maybe wear them with a hat.,338
458,"So basically the warm, good looking, great sounding headphones!",338
459,"Amazing sound and good bass, but the headphones did not look good when you had them on.",338
460,Turn it up and jam!!!,338
461,Do yourselves a favor and a little extra money on better headphones!,338
462,The fit of the headphones is fine.,338
463,They are not noise canceling and they are bulky.,338
464,Excellent for these purposes.,338
465,"The customer service for this product is outstanding and do the right job to get the job
done in time.",338
466,"I have already recommended them to three of my friends, and would have definitely paid at least twice the price for these headphones.",338
467,"The ones I had were actually Sony, and more expensive than these headphones!!!!",338
468,"The sound on these are better than Apple headphones, I can assure you of that.",338
469,"I didn't expect much for under $20, but if you consider yourself even slightly more concerned with quality than the average user, I'd get something else.",338
470,"Although they are mainly plastic, they are quite durable as I've used them virtually everyday since I purchased them in January of this year.",338
471,I have dropped them once or twice and they still work.,338
472,"There is no tone definition, very muddy sounding.",338
473,I'm listening to them now and they have very good sound with good base.,338
474,The backbone of the headset rests behind your head on your neck.,338
475,"Durable, great quality.",339
476,They also fit fine with my glasses on without pinching which is something I was worried about.,339
477,"Great sound, quality, and bass for the price.",339
478,"just bought these headphones and they work pretty well, the only little cons of them is the short wire length and they look weird when wearing them.",339
479,These headsets are awesome.,339
480,I would love to give these 5 stars.....but these have their issues.,339
481,They also got pressed into service as my primary headphones.,339
482,"In addition, they are bulky and don't allow for leaning on anything.",339
483,It's really good on its cheap price.,339
484,Easy to configure and use.,339
485,Seem ambient enough.,339
486,The only problem is they should use a better quality covering over the foam ear muffs.,339
487,I hated these headphones.,339
488,"My sister bought these for me for Christmas, they were on my wishlist, regardless, they are awesome.",339
489,These are almost too good to be true.,339
490,"Cons:
 - Although they were comfortable, they hurt my ears after prolonged wear.",339
491,"That being said, I purchased these for my 14yr old son for Xmas for his mp3.",339
492,I was a little worried that these would be junk... but they are awesome.,339
493,"My light never dims, and the power never comes on when I unplug and hit the power on button.",339
494,I have been having multiple issues with the microphone input of the NEXUS 4 phone.,339
495,I have had mine for about two years and they are in perfect quality.,339
496,These lasted me a good year and half before they gave out on me :( They were amazing for the price and will be sorely missed.,339
497,"The wife liked them so much for the gym, she had me order her a second set to wear at work.",339
498,"Call quality is even exceptional, though I try not to use them for that purpose, as I tend to talk a magnitude or two louder when I use them.",339
499,I've looked at all the other Bluetooth headset on here and this one was my number one choice and #1 recommended.,339
500,I ordered these to use strictly at my computer because I wanted the household noise to be blocked out.,340
501,They stay on well even with the sweat and the sound is decent considering the price point of 25.00 I ordered another set for my partner who spends a lot of time doing yard work.,340
502,"Bottom line was that they provided very good sound quality and fit well on everyone's head, from my giant noggin down to my then-preschooler.",340
503,"But i wish they weren't white, because it got dirty on the inside VERY quick.. Other than that, they were absolutley WONDERFUL",340
504,:)  These push against my cartilage after a while.,340
505,I have tried them out and can't find a thing wrong with them.,340
506,After hrs of research I decided this was the headset for me...,340
507,i think they are better then just basic ear budds.,340
508,"Don't expect to get the best pair of headphones ever, but I've found that they're probably worth at least 30 or 35 dollars.",340
509,"Choose to go forward or backward , answer your phone, recall the last number.",340
510,"For that reason, and for the fact that I wanted a better sound experience, I got on the hunt for good headphones.",340
511,I can't use earbuds and corded phones are such a nuisance.,340
512,These headphones are the perfect mixture of BOTH.,340
513,Item is bent out of shape so I cannot even return it.,340
514,Not to loud either so you don't blow the cones out of them lol.,340
515,I bought this back in 2014 for school and just to relax with.,340
516,"I don't use it for phone calls much; it's not ideal for calls, but it works.",340
517,If one side just had a nub or braille I'd have a much easier time making sure they were on the right way (and this would also make them friendly for the blind).,340
518,My only complaint... No padding on the headband does start to hurt the top of my head but I will like just glue a strip of phone to the underside and call it good.,340
519,Very good volume.,340
520,I looked at several different makes and models and decided to try these.,340
521,"For anyone that complains about the sound quality, THEY ARE $15.00.",340
522,"What's even worse is that when the battery gets low, these will emit a series of loud beeps in your ears that signal the battery is about to die.",340
523,So if you're looking for bass you can literally feel (like many headphones provide) these are not for you.,340
524,Headphones will not pair with my computer.,340
525,The only feature they have is earpieces that cover the full ear canal opening to muffle external sound waves.,341
526,"For the price of these headphones, they're actually pretty good.",341
527,"The audio quality, however, was more akin to the $3 headphones that you get on an airplane to watch a movie, and those headphones are meant to be disposable.",341
528,"My main issue is that they keep cutting out, like multiple times in the length of a single song.",341
529,"Songs that I've listened to for years, I can hear so clearly.",341
530,"I've had these headphones for about three months of heavy use and wear, and they work great.",341
531,I really look forward to the times when there isn't a lot of background noise and I get to put these on.,341
532,Even worse with glasses.,341
533,I love these headphones.,341
534,Now if you're expecting a high end sterophile experience then look elsewhere.,341
535,I stongly recommend in investing in these headphones.,341
536,I am sure it would work fine if I wanted music playing on it the entire time.,341
537,"Yes I know they are 15 bucks, but I really expected more given the reviews on Amazon.",341
538,I just want to upgrade.,341
539,For the price a quality product,341
540,I tethered the locking velvet pouch to the outside of my back-pack for easy access and to keep them safe from my textbooks.,341
541,There is about a half inch of space between the back portion of the headphones that are suppose to rest on the back of your head.,341
542,The range isn't too bad either.,341
543,great headphones in my opinion better than beats but leak alot of sound and they fit well i have an afro and they are big enough to go over that so they please me and they handle bass well,341
544,"I understand there's instant nostalgia once you realize you're no longer wire bound and your arms are all free and nilly, but trust me read this first.",341
545,I wanted to experiment with bluetooth headphones and these were a solid but low cost way to try them out.,341
546,Price is okay for the quality.,341
547,"""I listen to my radio at a reasonable volume.""",341
548,So I am a regular gym goer and I use my headphone while working out.,341
549,"I bought two of them, one for each of my daughters.",341
550,"Read the description before you buy it then get it then complain about it not being noise canceling, these weren't made to cancel out noise, just slightly muffle them out.",342
551,A nice purchase.,342
552,"For that reason, and for the fact that I wanted a better sound experience, I got on the hunt for good headphones.",342
553,Folds up to make it an easy carry.,342
554,"Cons:
 - Although they were comfortable, they hurt my ears after prolonged wear.",342
555,"When my old headphones broke, I did some research on Amazon to try and find a good replacement with a reasonable price tag.",342
556,Still worth the price though!,342
557,Not recommend this to anyone!,342
558,"Both models respond well to my phone's EQ app, letting me boost the deep bass and highest treble.",342
559,These headphones... Wow.,342
560,I told everyone I know about this product.,342
561,They cover your ears well and are adjustable.,342
562,However the ear piece is really soft so that balance out the tight grip.,342
563,"I can't recommend this item, and I hope they can improve the headphones.",342
564,I bought and returned a number of headphones the past few weeks.,342
565,Do not make the same mistake .,342
566,I honestly would have returned it but was too lazy.,342
567,"My only complaint is that they're described as ""noise cancelling"" and they definitely are not.",342
568,SONY did a good job as a big brand should,342
569,And by the time I realized this I was out of the return window.,342
570,Perfect for me at work.,342
571,These headphones can get pretty loud too.,342
572,I would not recommend traveling with these.,342
573,"Hey Joel,

I like the earphones.",342
574,"They are comfortable, block out outside noise, and have good audio quality.",342
575,These are fine.,343
576,This seems to be common for a lot of these inexpensive headsets.,343
577,These were also a gift and my daughter loves them.,343
578,You can only hear the voices.,343
579,These headphones have great clarity listening to music with ample bass.,343
580,I need looking for the noise canceling headphone.,343
581,Affordable too!,343
582,We could hardly hear it.,343
583,Not sure if this is a wake up call or a warning or something.,343
584,There are both coach style buses and city style buses on my route and I'm able to hear over both.,343
585,"All in all it is worth buying I recommend doing so for music,phone calls, and Skype or other online chat.",343
586,The bass was surprisingly strong and the mids and highs were acceptable for phones at this price.,343
587,"In fact, a co-worker is so impressed as well that she is going to order a pair for herself!",343
588,"The sound is quite good even on a crowded airplane; the padding around the ears is very comfortable, but also hasn't peeled or frayed.",343
589,"It seems best for walkers, joggers, cyclists.",343
590,I now have a Sony professional series for $99 which is amazing compared to this $15.,343
591,I would have given 5 stars had the cable been longer.,343
592,"It's hard to figure out how to fold it up properly, not a big deal.",343
593,Cups/cans are too small to go around your ear.,343
594,Does not feel flimsy at all.,343
595,But maybe I am used to earbuds.,343
596,My only complaint is with the fit.,343
597,I am very disappointed now though.,343
598,Clear sound and good microphone.,343
599,On my PC when I want to use the headphones I just power them up and wait about 10 seconds or so.,343
600,"Maybe I got a defective product or something, but the volume that I hear things on this headphone is just way too low and because of that it makes it seem like I am listening to everything through muddy water.",344
601,The sound is amazing and clear and they are extremely comfortable even after wearing them for hours.,344
602,If I wanted something high end I would of paid high end money.,344
603,Decent paid of mid-level head phones.,344
604,"Despite their compact on-ear size, these are very big head friendly.",344
605,I plan on taking better care of these.,344
606,"I wish they had a better grip though, as in a month they started to fall down if I picked something up.",344
607,sound quality is good and for the price you cant get any better.,344
608,"I also have a petite frame and, I assume, smaller head and I have lots of room in these in the back so I imagine they'd for someone with a larger head as well.",344
609,I'm giving these 5 stars only because they do sounds very good for the echeap price.,344
610,Highly recommended!,344
611,If you don't plan on laying down in these you will not have any problems.,344
612,"My light never dims, and the power never comes on when I unplug and hit the power on button.",344
613,"These headphone look stylish, contour to my head well, and sound great!!",344
614,This product is replacing my previous 4 year old SteelSeries Siberia V2.,344
615,They are snug and perhaps painful with extended use.,344
616,Unfortunately they will stop holding a charge after a month or so of everyday use.,344
617,I purchased this for my wife for Christmas.,344
618,I used 22mm stuffed into each earpad.,344
619,"Only ""problem"" is the plastic part that goes over your head doesn't bend much so it looks a little funny when you wear them, but not a big deal at all.",344
620,This is my fourth set of these headphones.,344
621,"I use them with an iPhone, and setup/pairing was quick and easy.",344
622,"Thy are not isolate quite well surrounding noise and sound, U can't wear them in noisy street.",344
623,This is my second set of these to keep separate places so I don't ever forget a pair.,344
624,"Sound is very good for an on-ear model, and you can wear them for quite awhile without discomfort.",344
625,podcasts and such.,345
626,"The sound on these are better than Apple headphones, I can assure you of that.",345
627,"After over two years they finally broke on me, one side stopped working.",345
628,I bought these headphones for $25 at a local hipster/nerd store that I frequent.,345
629,I wouldn't even consider them as an upgrade from standard ipod earbud quality.,345
630,It was simple to pair to my smartphone.,345
631,I have recommended this product to several people.,345
632,"Since these cover the ear, I figured I'd give them a shot.",345
633,"Because kids are using them, I don't want to spend a lot, but I want them to hold up a little while.",345
634,They do a great job of blocking out external sound.,345
635,Range on the bluetooth is pretty generous before the audio drops.,345
636,These look and feel great.,345
637,The only difference I see is that the BTH240 uses the same size USB cord all of the cell phones in the house seem to use.,345
638,"Outside sounds, like sounds of shrieking children while you're wearing headphones, seemed to be amplified to a piercing sound to me.",345
639,I also really like the buttons on the side for adjusting the volume; they're perfect for when you're listening to music away from your computer.,345
640,Comfy headphones that do not bother me after prolonged usage.,345
641,Bought this for my daughter to use on her tablet and in school.,345
642,It is very annoying.,345
643,"im not sure if its because i listen to them to loud or something else, but i tried not to listen to them that loud.",345
644,Just bought a second pair so my wife can listen to her audio books!,345
645,"Stop complaining about how cheap headphones aren't the best quality, I think that is supposed to be rather obvious.",345
646,and they also look awesome when i work out!,345
647,They were and they sent me a pair as well.,345
648,These are my first set of bluetooth headphones and most of my use of these is listening to audiobooks on a Samsung Galaxy Note II.,345
649,"Deep bass, yet not too overpowering.",345
650,Love the fact that they are very stylish and look more expensive that the retail price however the sound it's too low I have to turn up all the volume in order to have a nice sound,346
651,"I'm no expert, but in the quiet of my room audio quality was excellent.",346
652,"Taking into consideration the price I bought it for, $15, it is by far one of the best for its price range.",346
653,I bought these for workouts but sadly they are way too bulky.,346
654,"But, anyway, I've had no problems with the product.",346
655,"The sound is great in these things and they're not very expensive, either.",346
656,I love these!!!,346
657,"Ask them what Total Harmonic Distortion (THD) or steady-state RMS power or MP3 compression is, and usually that's the end of the conversation.",346
658,I bought a pair of beats solos and am writing this review with the Sonys on my head.,346
659,I was searching high and low for bluetooth wireless headphones to use with my iPhone and iPod.,346
660,One of the earbuds had broken making it necessary to purchase another set.,346
661,"I might be a little concerned about the ear pieces fabric fraying because of sweat, but as long as the sound stays good I don't much care.",346
662,I use my headphones for listening to class lectures and writing notes.,346
663,Sound quality is acceptable for avarage not demandable user.,346
664,"Overall very satisfied - it's also very cost efficient compared to its competitors, will keep updated as far as wear and tear.",346
665,They're better than the Skullcandy 2XL's that I was replacing like Pez ... when I can hear them.,346
666,after first workout they of course got sweaty and to my shock the cushion for ear came off.,346
667,"All in all it is worth buying I recommend doing so for music,phone calls, and Skype or other online chat.",346
668,Seem ambient enough.,346
669,"The sound cuts a bit if you're moving around a lot, I wore then as I mowed my lawn, but for the most part, 'they're okay.",346
670,"During a workout, my music will gradually lower to min volume and then start beeping (because it hit the volume min limit).",346
671,"The sound is pretty good and when I use it to make calls, I've had no complaints about the microphone quality.",346
672,I'm sure others like this option but it does not fit my needs.,346
673,Definitely not a phone issue as I tried it with several other devices.,346
674,I would have liked if there was a slight gap or more of a curve.,346
675,Excellent value!,347
676,No volume setting for them at all.,347
677,Before I won new headphones I use these ones all the time.,347
678,I prefer these over the Jay bird 2s that cost $170.,347
679,"But as they are, I cannot recommend them.",347
680,"My older cousin, who knows a lot about headphones, said these sound better than her $70 headphones.",347
681,"If you live by yourself or will be using these in a quiet room, they should be fine.",347
682,I have to sit directly in front of the stereo on the floor to use them.,347
683,A nice purchase.,347
684,Good enough for me since i'm not that person who spends $$$ on audio quality...,347
685,Works fine with the phone function and with Siri.,347
686,It's more of a mechanical settle bass.,347
687,Within a couple hours my ears are really hurting.,347
688,"They came in the mail within two days of my order, which made me very pleased.",347
689,I am an editor and I use these for simple editing in coffee shops.,347
690,";-) )
They are also very comfy.",347
691,"Everything breaks form Sony these days, including headphones.",347
692,I like to listen while cleaning house.,347
693,Both are built almost identical quality wise.,347
694,All of the New Music I just down loaded sounded greater than I ever expected.,347
695,"On the left side in particular, the wire pressed against the top of my ear making it a little sore after long use.",347
696,Had to figure out best wearing configuration i.e.,347
697,"I have dropped them, yanked the cord a few times, though not ridiculously hard...",347
698,It's just where bluetooth technology is.,347
699,The only drawback was they weren't long enough to watch my tv from bed.,347
700,"They are fine for the price, but I would consider spending more for a better product.",348
701,One hand operation.,348
702,I ordered another pair and they came right away.,348
703,"For $15, these are probably some of the best sounding headphones you can buy.",348
704,"For instance, the leatherette has not peeled off even though I use it almost daily at the gym.",348
705,Highly recommend this product.,348
706,They come with a micro usb charging cable and a velvet-like pouch for storage.,348
707,I also wear hearing aids and these work great and are comfortable over them.,348
708,This is still great after a year.,348
709,"Got these headphones based on a review in a magazine, and it was spot on.",348
710,After hrs of research I decided this was the headset for me...,348
711,If anyone knows where I can buy a cushion over the top of these please contact me chkaczsn@yahoo.com,348
712,Can't believe these were so highly rated.,348
713,"Also, while it is lightly sitting on ear, it also isolates the noise pretty well.",348
714,Highly recommended.,348
715,Price: Amazing price!,348
716,We're totally satisfied with product .,348
717,I've had these headphones for all of one day.,348
718,These have about half the distance before signal cuts out.,348
719,"For those of you don't need the volume up quite as high like for walking or watching a dvd in a car, etc.",348
720,Sony is a great brand got the white  color.,348
721,"If your thinking Beats or Bose, just try these first and save your self an arm or a leg.",348
722,The sound is decent nothing to heavy as far as bass which is fine because the noise cancellation makes up for some of the downsides.,348
723,"Anyway, with all the other headphones at the same price range that exist out there, I just returned them and bought something else.",348
724,Much better than I expected.,348
725,Then finally the exterior bridge that holds the phones on the bar broke.,349
726,Great headphones for $15.,349
727,They are great for working out as well; just make sure you wipe them clean when you towel off since they are not waterproof.,349
728,"#1 TV audio for me, #2 keep the wife tuned out.",349
729,"I doubt they're good enough for a plane, but for a dorm or most bus rides you should be very isolated.",349
730,"These are NOT noise-cancelling headphones, of course, but the design features are pretty good for the under-$20 price.",349
731,"Also, the padding around the earpieces is quite comfortable and doesn't allow much sound leakage at all.",349
732,"These headphones are Better Sounding, (better balance; highs are crisper/less muted), Better Quality, Better Fitting, Pair Easier, oh, and are HALF what I paid for Rocketfish...  Major Home Run!",349
733,I love the kid but I really love those ATH-50's and I'm not willing  to make the sacrifice on this particular subject.,349
734,guess i'll be returning these Sony ones and forking up the extra $30 bucks for another pair of Sennheisers.,349
735,"For $15 not bad, but most of these reviews are very deceiving.",349
736,"I basically put these on at 8, and leave them on until 6.",349
737,"I'd rather pay more for better quality, but even the more expensive ones from Sony that are similar to this, have the same problems.",349
738,"As the subject says, the poor audio cable caused crackling on the slightest movements.",349
739,The video here is a video from my channel on YouTube -- ONOTech.,349
740,I'm also a musician (bass) and  I think the music quality is very good.,349
741,I compared them to the audio with a friend's Beats Solo HD ($199) and to be honest they sounded almost exactly the same.,349
742,Easy bluetooth connectivity to the iphone and ipad and good battery life.,349
743,"I listen to different kinds of music, pop, rap, instrumental, Polynesian, classical, etc.",349
744,"I use them as my everyday ones now, and they are very comfortable.",349
745,They also get a little loose occasionally and the screws need to be tightened once in a while (especially if you fold them up regularly).,349
746,"If star ratings were correlated with price, this would be 5 stars.",349
747,Just like other people saying the cord should be at least 6 inch longer.,349
748,"Used them on my droid but can play them very lound for some reason, i believe it is my phone though.",349
749,"Thought about giving this 3 stars but for the money, I just can't complain that much.",349
750,"They came in the mail within two days of my order, which made me very pleased.",350
751,"They could be uncomfortable if you have glasses, as the frame could get pressed against your ear.",350
752,"Wow, as another reviewer described, these are very uncomfortable, at least on my ears.",350
753,Not the fault of the manufacturer.),350
754,Why wouldnt you buy these they are perfect for jogging or taking to school to and plug into your laptop.,350
755,I had hoped to use them on airline flights but the background noise made it too difficult for me to hear dialog.,350
756,These are great headphones that block out outside noise and you need not turn the volume up to hear things clearly.,350
757,Very disappointing.,350
758,I have no idea how but there is really no way to untwist it.,350
759,I've had a Kinivo BTH240 (black) headset for well over a year and had to buy my girlfriend one too (red).,350
760,These are built to last!,350
761,"if i had to choose the price, i would price it at $34.99.",350
762,I bought two sets of these for my children (ages 4 and 6) to use on an airplane with their kindles.,350
763,If that is the purpose it is,350
764,"The sound quality is not breathtaking my any means, but I believe a very good value for the price.",350
765,They are quite light as well.,350
766,Getting a second set for my daughter.,350
767,also the controls are easy to access.,350
768,"I have, some years ago, bought these headphones and they have held up well, I will probably buy them again one day.",350
769,"I have used higher quality headphones, but they are usually too heavy for several hours of editing.",350
770,These would definitely be that product.,350
771,The battery life is out of this world.,350
772,"The leatherette ear cushions also wore out after the first year and a half, but these headphones went through a little bit of a beating in their 2 year lifespan.",350
773,"Great battery life, strong Bluetooth reception with my phone.",350
774,The headphones work well and its not too loud.,350
775,"The leatherette ear cushions also wore out after the first year and a half, but these headphones went through a little bit of a beating in their 2 year lifespan.",351
776,I need looking for the noise canceling headphone.,351
777,Price comparable to lesser models seen at Wal-Mart and the like.,351
778,They connect to all my devices.,351
779,The bass has punch (although still not going to deliver what I'm _really_ looking for) and the highs are clean.,351
780,It is perfect for taking outdoors.,351
781,These are light and comfortable for long periods - I wear them all day at work.,351
782,I would not buy again.,351
783,"Actual, serious physical pain and burning of my ears.",351
784,They have excellent sound quality and require very little charge time for a long playtime.,351
785,"They aren't audiophile headphones, but they are more than adequate; moreover, I don't have to switch headsets if I'm in a meeting and then want to drown out the office noise with music after the meeting is over.",351
786,This is a terrible headphone!!!,351
787,First off let me say I did not give this 5 stars because of its hi fidelity sound.,351
788,The padding on them makes them very comfortable.,351
789,5) No clicking sound from the buttons as reported by other users.,351
790,These headphones have great sound and cost less.,351
791,"Oh, my previous 3 pairs that this beats:
Skullcandy Hesh
Skullcandy Inked
Panasonic RP-HTX7PP (Although very very very close.",351
792,"I keep them in the outside pocket of my gym bag and they have not broken, I am a little careful with them because they are slight, but that is better than some bulky heavy monster headphones.",351
793,The frequency response was terrible.,351
794,For me it was very loose even with it clinging on my ears.,351
795,I am so pleased with this product and have already recommended it to several people!!!,351
796,Only finally found ONE image.,351
797,My sone broke his and we purchased another about a year ago.,351
798,The headphones work well and its not too loud.,351
799,"not much power under the hood coming from an ipod touch 4, and it isn't comfortable like anything you spend big bucks for.",351
800,"They sound better, but still not great..  None of my recent headphone purchases can match my 20 year old, cheap digital headphones, which are starting to fall apart...:(  These do look great, though.",352
801,This is certainly the case here as well.,352
802,"Sound in both ears is clear, they're comfortable for long periods of time, i've dropped them on numerous occasions and the plastic hasn't cracked or really scuffed at all.",352
803,Phone calls sounded great on them and were very clear.,352
804,I've purchased three pairs of these for my kids (two pairs in white/pink and one in blue/black).,352
805,I am a bigger guy with a larger head so the headset is a little tight around the back of my head.,352
806,I ordered it about a month ago agony I still don't need to charge it!,352
807,The new ones feel cheaper - including thinner and shorter cable.,352
808,Tried another brand but they weren't as nice as these by a long shot.,352
809,No issues here.,352
810,Fantastic value.,352
811,I truly feel this is the best bang for your buck headphones.,352
812,I was originally impressed at their responsiveness and proposed solution to the problem.,352
813,"Overall if you're on a budget and can't really spend more than 20 bucks on headphones go with these, you won't be disappointed.",352
814,It's pretty darn gross.,352
815,These solve both problems!,352
816,"These headphones do go quite loud, but when you crank them up, they are very bass heavy.",352
817,I wouldn't waste my money on these due to the poor design.,352
818,Surprise--there are differences.,352
819,"However 90% of the time, they work and work well.",352
820,I've had mine for over 6 months and I haven't had a single problem!,352
821,Price is okay for the quality.,352
822,I purchased these headphones because my dad wanted a pair of headphones when he went to work out and go about his daily routine.,352
823,I was cleaning the walls of my house.,352
824,I have an app on my phone with an equalizer and played around with the sound settings.,352
825,"But these are all small issues in my opinion, definitely not showstoppers.",353
826,"They work fine for music, but for you tube or vine DO NOT use these they are laggy and uncomfortable to wear.",353
827,I bought these because my cat was chewing the cords on my expensive in-ear noise-cancelling earphones.,353
828,"Purchased in late May 2015 and just discovered it died, will not charge - I got about 18 months of use out of it, but really expected more for the price (around $25 at time of purchase).",353
829,The bass was surprisingly strong and the mids and highs were acceptable for phones at this price.,353
830,I don't understand why it don't work.,353
831,Sound is okay/cool and I love that the right side has a read mark so u can easily know what side to put where.,353
832,These earphones are good but I wish they didn't feel so tight.,353
833,But I knew this had to be just a bad unit.,353
834,Then u have to keep wiggleing it to get it on both sides...  is any one else's like that?,353
835,but on the good side it would match with your clothing quite nicely.,353
836,The previous set I owned (different brand) lasted for 5 months before they crapped out.,353
837,The sound is good but the headband is so tight it gives my kids headaches.,353
838,"I used to use cheap wired headphones to listen to my podcasts, I would go through a pair a month, these have lasted me 8 months so it's a great value.",353
839,"From day 1 they were uncomfortable, but manageable and with decent sound.",353
840,Hurt my head within 15 minutes.,353
841,I use first one with my WALKMAN.,353
842,I choose the Sony's because I have enough familiarity with Sony headphones to know that they are very clean.,353
843,"I haven't tried running with these on, but I doubt they'd move at all.",353
844,"If your thinking Beats or Bose, just try these first and save your self an arm or a leg.",353
845,They are NOT noise cancelling by any means but it's definitely a bonus.,353
846,Build quality is decent.,353
847,Owned these for a little over two years with light to moderate use through that time.,353
